,target,Categories,Nfreq,Vfreq,logfreq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,NPrel,Nonerel,NPOnlyrel,MorphStatus
2119,nonplus,['verb'],0,20,1.32221929473,0.047619047619,False,False,False,True,False,0,0.63964,0.18018,0.315316,obscure
2176,disenfranchise,['verb'],0,7,0.903089986992,0.125,False,False,False,True,False,1,0.650526,0.28421,0.534737,complex
2181,rive,['verb'],0,30,1.49136169383,0.0322580645161,False,False,False,True,False,1,0.663053,2e-05,0.111719,monomorphemic
2213,entangle,['verb'],0,58,1.77085201164,0.0169491525424,False,False,False,True,False,1,0.45093,0.223799,0.231001,complex
2216,retell,['verb'],0,13,1.14612803568,0.0714285714286,False,False,False,True,False,1,0.694794,0.162333,0.493491,complex
2261,presuppose,['verb'],0,53,1.73239375982,0.0185185185185,False,False,False,True,False,1,0.72886,0.145134,0.575751,complex
2292,realize,['verb'],0,3628,3.5597869682,0.00027555800496,False,False,False,True,False,1,0.200638,0.209886,0.200618,complex
2315,resuscitate,['verb'],0,10,1.04139268516,0.0909090909091,False,False,False,True,False,0,0.710471,0.131604,0.455743,obscure
2334,burke,['verb'],0,88,1.94939000664,0.0112359550562,False,False,False,True,False,1,2e-05,0.99998,1e-05,monomorphemic
2411,unman,['verb'],0,8,0.954242509439,0.111111111111,False,False,False,True,False,1,0.73077,0.181818,0.531469,complex
2424,depict,['verb'],0,209,2.32221929473,0.0047619047619,False,False,False,True,False,0,0.877189,0.053491,0.473112,may_include_a_root
2438,instil,['verb'],0,51,1.71600334363,0.0192307692308,False,False,False,True,False,1,0.814893,0.066089,0.492533,monomorphemic
2446,overrate,['verb'],0,23,1.38021124171,0.0416666666667,False,False,False,True,False,1,0.816156,0.183844,0.78273,complex
2518,destine,['verb'],0,30,1.49136169383,0.0322580645161,False,False,False,True,False,1,0.339454,0.132799,0.06785,monomorphemic
2527,interpolate,['verb'],0,6,0.845098040014,0.142857142857,False,False,False,True,False,0,0.853792,1e-05,0.631572,obscure
2537,force-feed,['verb'],0,16,1.23044892138,0.0588235294118,False,False,False,True,False,2,0.863249,0.0,0.675207,complex
2544,reconstitute,['verb'],0,29,1.47712125472,0.0333333333333,False,False,False,True,False,1,0.886648,0.051639,0.542326,complex
2549,indict,['verb'],0,54,1.74036268949,0.0181818181818,False,False,False,True,False,0,0.840158,0.04405,0.42863,may_include_a_root
2558,subdue,['verb'],0,57,1.76342799356,0.0172413793103,False,False,False,True,False,0,0.788071,0.104175,0.572564,obscure
2578,misguide,['verb'],0,1,0.301029995664,0.5,False,False,False,True,False,1,0.882051,0.117949,0.764102,complex
2584,banish,['verb'],0,114,2.06069784035,0.00869565217391,False,False,False,True,False,0,0.837044,0.027013,0.451019,may_include_a_root
2601,outbid,['verb'],0,3,0.602059991328,0.25,False,False,False,True,False,1,0.844445,0.077778,0.544831,complex
2792,behold,['verb'],0,88,1.94939000664,0.0112359550562,False,False,False,True,False,0,0.328439,0.480196,0.156155,may_include_a_root
2928,plod,['verb'],0,63,1.80617997398,0.015625,False,False,False,True,False,1,0.24298,0.302079,0.206082,monomorphemic
2954,pollute,['verb'],0,153,2.18752072084,0.00649350649351,False,False,False,True,False,0,0.816066,0.099652,0.528176,obscure
2962,impair,['verb'],0,93,1.9731278536,0.0106382978723,False,False,False,True,False,0,0.912781,0.043609,0.694468,may_include_a_root
2973,titillate,['verb'],0,18,1.27875360095,0.0526315789474,False,False,False,True,False,0,0.487272,0.414545,0.403636,obscure
2989,alienate,['verb'],0,151,2.18184358794,0.00657894736842,False,False,False,True,False,1,0.825183,0.083624,0.602152,complex
3004,estrange,['verb'],0,22,1.36172783602,0.0434782608696,False,False,False,True,False,0,0.613537,0.10262,0.233624,obscure
3071,drench,['verb'],0,76,1.88649072517,0.012987012987,False,False,False,True,False,1,0.806047,0.075051,0.442252,monomorphemic
3079,renew,['verb'],0,301,2.48000694296,0.00331125827815,False,False,False,True,False,1,0.714817,0.129629,0.409202,complex
3096,illustrate,['verb'],0,557,2.74663419894,0.00179211469534,False,False,False,True,False,0,0.830293,1e-05,0.65404,obscure
3111,garble,['verb'],0,22,1.36172783602,0.0434782608696,False,False,False,True,False,1,0.485149,0.485149,0.435644,monomorphemic
3123,encase,['verb'],0,64,1.81291335664,0.0153846153846,False,False,False,True,False,1,0.719276,0.0,0.213454,complex
3190,systematize,['verb'],0,14,1.17609125906,0.0666666666667,False,False,False,True,False,1,0.674418,0.302326,0.534883,complex
3202,overrule,['verb'],0,26,1.43136376416,0.037037037037,False,False,False,True,False,1,0.903946,0.043957,0.657765,complex
3297,disarrange,['verb'],0,7,0.903089986992,0.125,False,False,False,True,False,1,0.717362,0.190907,0.494479,complex
3305,thrash,['verb'],0,131,2.12057393121,0.00757575757576,False,False,False,True,False,1,0.700066,0.176794,0.4632,monomorphemic
3361,extol,['verb'],0,36,1.56820172407,0.027027027027,False,False,False,True,False,0,1.0,0.0,0.845886,may_include_a_root
3408,congratulate,['verb'],0,163,2.21484384805,0.00609756097561,False,False,False,True,False,0,,,,obscure
3424,elucidate,['verb'],0,20,1.32221929473,0.047619047619,False,False,False,True,False,1,0.520085,0.079025,0.33292,complex
3437,injure,['verb'],0,180,2.25767857487,0.00552486187845,False,False,False,True,False,0,0.771005,0.033606,0.46479,may_include_a_root
3450,obligate,['verb'],0,15,1.20411998266,0.0625,False,False,False,True,False,0,0.481413,0.032037,0.285265,obscure
3455,familiarize,['verb'],0,18,1.27875360095,0.0526315789474,False,False,False,True,False,1,0.999999,0.0,0.247209,complex
3458,connote,['verb'],0,11,1.07918124605,0.0833333333333,False,False,False,True,False,1,1.0,0.0,0.832487,monomorphemic
3522,update,['verb'],0,75,1.88081359228,0.0131578947368,False,False,False,True,False,1,0.927045,0.0,0.719331,complex
3583,restrain,['verb'],0,232,2.36735592103,0.00429184549356,False,False,False,True,False,0,0.883335,0.0,0.549881,may_include_a_root
3603,abide,['verb'],0,84,1.92941892571,0.0117647058824,False,False,False,True,False,0,2e-05,0.288443,2e-05,may_include_a_root
3649,captivate,['verb'],0,16,1.23044892138,0.0588235294118,False,False,False,True,False,1,0.800187,0.107626,0.559234,complex
3756,introduce,['verb'],0,1626,3.21138755294,0.000614628149969,False,False,False,True,False,0,0.681479,0.222725,0.470018,may_include_a_root
3766,placate,['verb'],0,54,1.74036268949,0.0181818181818,False,False,False,True,False,0,1.0,0.0,0.857794,obscure
3832,consecrate,['verb'],0,45,1.66275783168,0.0217391304348,False,False,False,True,False,0,0.883573,0.0,0.436996,obscure
3857,repossess,['verb'],0,5,0.778151250384,0.166666666667,False,False,False,True,False,1,0.828571,0.171429,0.621428,complex
3865,tamp,['verb'],0,12,1.11394335231,0.0769230769231,False,False,False,True,False,1,0.62928,0.231626,0.280787,monomorphemic
3873,posit,['verb'],0,35,1.55630250077,0.0277777777778,False,False,False,True,False,1,0.628152,0.176894,0.440429,monomorphemic
3875,extinguish,['verb'],0,57,1.76342799356,0.0172413793103,False,False,False,True,False,0,0.712836,0.139795,0.498598,may_include_a_root
3974,orchestrate,['verb'],0,41,1.6232492904,0.0238095238095,False,False,False,True,False,1,0.905214,0.0,0.577338,complex
4023,impugn,['verb'],0,10,1.04139268516,0.0909090909091,False,False,False,True,False,0,0.999991,0.0,0.871203,may_include_a_root
4079,desalinate,['verb'],0,1,0.301029995664,0.5,False,False,False,True,False,1,0.935475,1e-05,0.806444,complex
4087,demean,['verb'],0,32,1.51851393988,0.030303030303,False,False,False,True,False,0,0.547261,0.364828,0.547241,obscure
4088,alleviate,['verb'],0,82,1.91907809238,0.0120481927711,False,False,False,True,False,0,0.911631,0.044184,0.679344,obscure
4151,intend,['verb'],0,1425,3.15411952552,0.00070126227209,False,False,False,True,False,0,0.247322,0.081829,0.160619,may_include_a_root
4168,revivify,['verb'],0,13,1.14612803568,0.0714285714286,False,False,False,True,False,1,0.892858,0.107143,0.803571,complex
4278,satirize,['verb'],0,16,1.23044892138,0.0588235294118,False,False,False,True,False,1,0.834053,0.165937,0.70305,complex
4300,insulate,['verb'],0,104,2.02118929907,0.00952380952381,False,False,False,True,False,0,0.894893,0.0,0.345606,obscure
